id,title,description,incident_type,severity,status,date,created_at,reported_by
420,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-02-24,2025-02-24 00:00:00,admin
421,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-02-25,2025-02-25 00:00:00,analyst1
422,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-02-26,2025-02-26 00:00:00,analyst2
423,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-02-27,2025-02-27 00:00:00,soc_user
424,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-02-28,2025-02-28 00:00:00,admin
425,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-03-01,2025-03-01 00:00:00,analyst1
426,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-03-02,2025-03-02 00:00:00,analyst2
427,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-03-03,2025-03-03 00:00:00,soc_user
428,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-03-04,2025-03-04 00:00:00,admin
429,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-03-05,2025-03-05 00:00:00,analyst1
430,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-03-06,2025-03-06 00:00:00,analyst2
431,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-03-07,2025-03-07 00:00:00,soc_user
432,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-03-08,2025-03-08 00:00:00,admin
433,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-03-09,2025-03-09 00:00:00,analyst1
434,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-03-10,2025-03-10 00:00:00,analyst2
435,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-03-11,2025-03-11 00:00:00,soc_user
436,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-03-12,2025-03-12 00:00:00,admin
437,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-03-13,2025-03-13 00:00:00,analyst1
438,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-03-14,2025-03-14 00:00:00,analyst2
439,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-03-15,2025-03-15 00:00:00,soc_user
440,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-03-16,2025-03-16 00:00:00,admin
441,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-03-17,2025-03-17 00:00:00,analyst1
442,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-03-18,2025-03-18 00:00:00,analyst2
443,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-03-19,2025-03-19 00:00:00,soc_user
444,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-03-20,2025-03-20 00:00:00,admin
445,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-03-21,2025-03-21 00:00:00,analyst1
446,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-03-22,2025-03-22 00:00:00,analyst2
447,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-03-23,2025-03-23 00:00:00,soc_user
448,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-03-24,2025-03-24 00:00:00,admin
449,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-03-25,2025-03-25 00:00:00,analyst1
450,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-03-26,2025-03-26 00:00:00,analyst2
451,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-03-27,2025-03-27 00:00:00,soc_user
452,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-03-28,2025-03-28 00:00:00,admin
453,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-03-29,2025-03-29 00:00:00,analyst1
454,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-03-30,2025-03-30 00:00:00,analyst2
455,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-03-31,2025-03-31 00:00:00,soc_user
456,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-04-01,2025-04-01 00:00:00,admin
457,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-04-02,2025-04-02 00:00:00,analyst1
458,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-04-03,2025-04-03 00:00:00,analyst2
459,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-04-04,2025-04-04 00:00:00,soc_user
460,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-04-05,2025-04-05 00:00:00,admin
461,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-04-06,2025-04-06 00:00:00,analyst1
462,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-04-07,2025-04-07 00:00:00,analyst2
463,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-04-08,2025-04-08 00:00:00,soc_user
464,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-04-09,2025-04-09 00:00:00,admin
465,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-04-10,2025-04-10 00:00:00,analyst1
466,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-04-11,2025-04-11 00:00:00,analyst2
467,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-04-12,2025-04-12 00:00:00,soc_user
468,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-04-13,2025-04-13 00:00:00,admin
469,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-04-14,2025-04-14 00:00:00,analyst1
470,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-04-15,2025-04-15 00:00:00,analyst2
471,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-04-16,2025-04-16 00:00:00,soc_user
472,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-04-17,2025-04-17 00:00:00,admin
473,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-04-18,2025-04-18 00:00:00,analyst1
474,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-04-19,2025-04-19 00:00:00,analyst2
475,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-04-20,2025-04-20 00:00:00,soc_user
476,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-04-21,2025-04-21 00:00:00,admin
477,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-04-22,2025-04-22 00:00:00,analyst1
478,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-04-23,2025-04-23 00:00:00,analyst2
479,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-04-24,2025-04-24 00:00:00,soc_user
480,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-04-25,2025-04-25 00:00:00,admin
481,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-04-26,2025-04-26 00:00:00,analyst1
482,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-04-27,2025-04-27 00:00:00,analyst2
483,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-04-28,2025-04-28 00:00:00,soc_user
484,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-04-29,2025-04-29 00:00:00,admin
485,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-04-30,2025-04-30 00:00:00,analyst1
486,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-05-01,2025-05-01 00:00:00,analyst2
487,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-05-02,2025-05-02 00:00:00,soc_user
488,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-05-03,2025-05-03 00:00:00,admin
489,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-05-04,2025-05-04 00:00:00,analyst1
490,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-05-05,2025-05-05 00:00:00,analyst2
491,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-05-06,2025-05-06 00:00:00,soc_user
492,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-05-07,2025-05-07 00:00:00,admin
493,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-05-08,2025-05-08 00:00:00,analyst1
494,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-05-09,2025-05-09 00:00:00,analyst2
495,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-05-10,2025-05-10 00:00:00,soc_user
496,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-05-11,2025-05-11 00:00:00,admin
497,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-05-12,2025-05-12 00:00:00,analyst1
498,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-05-13,2025-05-13 00:00:00,analyst2
499,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-05-14,2025-05-14 00:00:00,soc_user
500,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-05-15,2025-05-15 00:00:00,admin
501,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-05-16,2025-05-16 00:00:00,analyst1
502,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-05-17,2025-05-17 00:00:00,analyst2
503,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-05-18,2025-05-18 00:00:00,soc_user
504,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-05-19,2025-05-19 00:00:00,admin
505,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-05-20,2025-05-20 00:00:00,analyst1
506,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-05-21,2025-05-21 00:00:00,analyst2
507,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-05-22,2025-05-22 00:00:00,soc_user
508,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-05-23,2025-05-23 00:00:00,admin
509,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-05-24,2025-05-24 00:00:00,analyst1
510,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-05-25,2025-05-25 00:00:00,analyst2
511,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-05-26,2025-05-26 00:00:00,soc_user
512,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-05-27,2025-05-27 00:00:00,admin
513,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-05-28,2025-05-28 00:00:00,analyst1
514,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-05-29,2025-05-29 00:00:00,analyst2
515,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-05-30,2025-05-30 00:00:00,soc_user
516,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-05-31,2025-05-31 00:00:00,admin
517,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-06-01,2025-06-01 00:00:00,analyst1
518,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-06-02,2025-06-02 00:00:00,analyst2
519,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-06-03,2025-06-03 00:00:00,soc_user
520,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-06-04,2025-06-04 00:00:00,admin
521,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-06-05,2025-06-05 00:00:00,analyst1
522,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-06-06,2025-06-06 00:00:00,analyst2
523,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-06-07,2025-06-07 00:00:00,soc_user
524,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-06-08,2025-06-08 00:00:00,admin
525,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-06-09,2025-06-09 00:00:00,analyst1
526,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-06-10,2025-06-10 00:00:00,analyst2
527,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-06-11,2025-06-11 00:00:00,soc_user
528,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-06-12,2025-06-12 00:00:00,admin
529,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-06-13,2025-06-13 00:00:00,analyst1
530,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-06-14,2025-06-14 00:00:00,analyst2
531,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-06-15,2025-06-15 00:00:00,soc_user
532,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-06-16,2025-06-16 00:00:00,admin
533,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-06-17,2025-06-17 00:00:00,analyst1
534,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-06-18,2025-06-18 00:00:00,analyst2
535,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-06-19,2025-06-19 00:00:00,soc_user
536,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-06-20,2025-06-20 00:00:00,admin
537,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-06-21,2025-06-21 00:00:00,analyst1
538,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-06-22,2025-06-22 00:00:00,analyst2
539,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-06-23,2025-06-23 00:00:00,soc_user
540,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-06-24,2025-06-24 00:00:00,admin
541,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-06-25,2025-06-25 00:00:00,analyst1
542,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-06-26,2025-06-26 00:00:00,analyst2
543,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-06-27,2025-06-27 00:00:00,soc_user
544,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-06-28,2025-06-28 00:00:00,admin
545,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-06-29,2025-06-29 00:00:00,analyst1
546,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-06-30,2025-06-30 00:00:00,analyst2
547,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-07-01,2025-07-01 00:00:00,soc_user
548,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-07-02,2025-07-02 00:00:00,admin
549,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-07-03,2025-07-03 00:00:00,analyst1
550,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-07-04,2025-07-04 00:00:00,analyst2
551,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-07-05,2025-07-05 00:00:00,soc_user
552,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-07-06,2025-07-06 00:00:00,admin
553,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-07-07,2025-07-07 00:00:00,analyst1
554,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-07-08,2025-07-08 00:00:00,analyst2
555,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-07-09,2025-07-09 00:00:00,soc_user
556,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-07-10,2025-07-10 00:00:00,admin
557,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-07-11,2025-07-11 00:00:00,analyst1
558,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-07-12,2025-07-12 00:00:00,analyst2
559,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-07-13,2025-07-13 00:00:00,soc_user
560,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-07-14,2025-07-14 00:00:00,admin
561,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-07-15,2025-07-15 00:00:00,analyst1
562,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-07-16,2025-07-16 00:00:00,analyst2
563,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-07-17,2025-07-17 00:00:00,soc_user
564,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-07-18,2025-07-18 00:00:00,admin
565,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-07-19,2025-07-19 00:00:00,analyst1
566,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-07-20,2025-07-20 00:00:00,analyst2
567,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-07-21,2025-07-21 00:00:00,soc_user
568,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-07-22,2025-07-22 00:00:00,admin
569,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-07-23,2025-07-23 00:00:00,analyst1
570,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-07-24,2025-07-24 00:00:00,analyst2
571,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-07-25,2025-07-25 00:00:00,soc_user
572,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-07-26,2025-07-26 00:00:00,admin
573,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-07-27,2025-07-27 00:00:00,analyst1
574,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-07-28,2025-07-28 00:00:00,analyst2
575,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-07-29,2025-07-29 00:00:00,soc_user
576,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-07-30,2025-07-30 00:00:00,admin
577,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-07-31,2025-07-31 00:00:00,analyst1
578,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-08-01,2025-08-01 00:00:00,analyst2
579,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-08-02,2025-08-02 00:00:00,soc_user
580,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-08-03,2025-08-03 00:00:00,admin
581,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-08-04,2025-08-04 00:00:00,analyst1
582,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-08-05,2025-08-05 00:00:00,analyst2
583,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-08-06,2025-08-06 00:00:00,soc_user
584,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-08-07,2025-08-07 00:00:00,admin
585,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-08-08,2025-08-08 00:00:00,analyst1
586,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-08-09,2025-08-09 00:00:00,analyst2
587,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-08-10,2025-08-10 00:00:00,soc_user
588,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-08-11,2025-08-11 00:00:00,admin
589,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-08-12,2025-08-12 00:00:00,analyst1
590,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-08-13,2025-08-13 00:00:00,analyst2
591,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-08-14,2025-08-14 00:00:00,soc_user
592,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-08-15,2025-08-15 00:00:00,admin
593,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-08-16,2025-08-16 00:00:00,analyst1
594,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-08-17,2025-08-17 00:00:00,analyst2
595,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-08-18,2025-08-18 00:00:00,soc_user
596,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-08-19,2025-08-19 00:00:00,admin
597,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-08-20,2025-08-20 00:00:00,analyst1
598,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-08-21,2025-08-21 00:00:00,analyst2
599,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-08-22,2025-08-22 00:00:00,soc_user
600,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-08-23,2025-08-23 00:00:00,admin
601,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-08-24,2025-08-24 00:00:00,analyst1
602,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-08-25,2025-08-25 00:00:00,analyst2
603,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-08-26,2025-08-26 00:00:00,soc_user
604,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-08-27,2025-08-27 00:00:00,admin
605,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-08-28,2025-08-28 00:00:00,analyst1
606,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-08-29,2025-08-29 00:00:00,analyst2
607,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-08-30,2025-08-30 00:00:00,soc_user
608,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-08-31,2025-08-31 00:00:00,admin
609,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-09-01,2025-09-01 00:00:00,analyst1
610,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-09-02,2025-09-02 00:00:00,analyst2
611,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-09-03,2025-09-03 00:00:00,soc_user
612,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-09-04,2025-09-04 00:00:00,admin
613,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-09-05,2025-09-05 00:00:00,analyst1
614,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-09-06,2025-09-06 00:00:00,analyst2
615,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-09-07,2025-09-07 00:00:00,soc_user
616,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-09-08,2025-09-08 00:00:00,admin
617,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-09-09,2025-09-09 00:00:00,analyst1
618,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-09-10,2025-09-10 00:00:00,analyst2
619,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-09-11,2025-09-11 00:00:00,soc_user
620,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-09-12,2025-09-12 00:00:00,admin
621,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-09-13,2025-09-13 00:00:00,analyst1
622,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-09-14,2025-09-14 00:00:00,analyst2
623,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-09-15,2025-09-15 00:00:00,soc_user
624,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-09-16,2025-09-16 00:00:00,admin
625,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-09-17,2025-09-17 00:00:00,analyst1
626,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-09-18,2025-09-18 00:00:00,analyst2
627,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-09-19,2025-09-19 00:00:00,soc_user
628,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-09-20,2025-09-20 00:00:00,admin
629,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-09-21,2025-09-21 00:00:00,analyst1
